"No.","Time","Source","Destination","Protocol","Length","Info"
"2727","29.309350","1.6.3","host","USBCOM","71","URB_BULK in"
"2731","29.516722","host","1.6.4","USBCOM","28","URB_BULK out"
"2733","29.517997","1.6.3","host","USBCOM","38","URB_BULK in"
"2737","29.522317","1.6.3","host","USBCOM","70","URB_BULK in"
"2741","29.718545","host","1.6.4","USBCOM","28","URB_BULK out"
"2743","29.723029","1.6.3","host","USBCOM","72","URB_BULK in"
"2747","29.726883","1.6.3","host","USBCOM","36","URB_BULK in"
"2751","29.920314","host","1.6.4","USBCOM","28","URB_BULK out"
"2753","29.923642","1.6.3","host","USBCOM","60","URB_BULK in"
"2757","29.927680","1.6.3","host","USBCOM","48","URB_BULK in"
"2761","30.120739","host","1.6.4","USBCOM","28","URB_BULK out"
"2763","30.124394","1.6.3","host","USBCOM","63","URB_BULK in"
"2767","30.128333","1.6.3","host","USBCOM","45","URB_BULK in"
"2771","30.321911","host","1.6.4","USBCOM","28","URB_BULK out"
"2773","30.325026","1.6.3","host","USBCOM","57","URB_BULK in"
"2777","30.329079","1.6.3","host","USBCOM","51","URB_BULK in"
"2781","30.522990","host","1.6.4","USBCOM","28","URB_BULK out"
"2783","30.525686","1.6.3","host","USBCOM","52","URB_BULK in"
"2787","30.529858","1.6.3","host","USBCOM","56","URB_BULK in"
"2791","30.723652","host","1.6.4","USBCOM","28","URB_BULK out"
"2793","30.726394","1.6.3","host","USBCOM","53","URB_BULK in"
"2797","30.730464","1.6.3","host","USBCOM","55","URB_BULK in"
"2801","30.924026","host","1.6.4","USBCOM","28","URB_BULK out"
"2803","30.927074","1.6.3","host","USBCOM","57","URB_BULK in"
"2807","30.931162","1.6.3","host","USBCOM","51","URB_BULK in"
"2811","31.125859","host","1.6.4","USBCOM","28","URB_BULK out"
"2813","31.127668","1.6.3","host","USBCOM","43","URB_BULK in"
"2817","31.131900","1.6.3","host","USBCOM","65","URB_BULK in"
"2821","31.334021","host","1.6.4","USBCOM","28","URB_BULK out"
"2823","31.336648","1.6.3","host","USBCOM","52","URB_BULK in"
"2827","31.340733","1.6.3","host","USBCOM","56","URB_BULK in"
"2831","31.534943","host","1.6.4","USBCOM","28","URB_BULK out"
"2833","31.537279","1.6.3","host","USBCOM","49","URB_BULK in"
"2837","31.541422","1.6.3","host","USBCOM","59","URB_BULK in"
"2841","31.737323","host","1.6.4","USBCOM","28","URB_BULK out"
"2843","31.737836","1.6.3","host","USBCOM","29","URB_BULK in"
"2847","31.742253","1.6.3","host","USBCOM","75","URB_BULK in"
"2851","31.746045","1.6.3","host","USBCOM","31","URB_BULK in"
"2855","31.938517","host","1.6.4","USBCOM","28","URB_BULK out"
"2857","31.942947","1.6.3","host","USBCOM","72","URB_BULK in"
"2861","31.946762","1.6.3","host","USBCOM","36","URB_BULK in"
"2865","32.139128","host","1.6.4","USBCOM","28","URB_BULK out"
"2867","32.143636","1.6.3","host","USBCOM","73","URB_BULK in"
